product,price,shipping_date,cost
DOBE FOMIS ELECTRONICS Silicone Protective Case For PlayStation 5 Dualsense Controller - Black,169,"Get it as soon as Monday, 2 September","Get it as soon as Monday, 2 SeptemberEGP 26.00 shipping"
DOBE Silicone Protective Case for PlayStation 5 (Blue),169,"Get it as soon as tomorrow, 1 Sep","Get it as soon as tomorrow, 1 SepFulfilled by Amazon - FREE Shipping"
DOBE Silicone Protective Case for PlayStation 5 (Black),159,"Get it as soon as tomorrow, 1 Sep","Get it as soon as tomorrow, 1 SepFulfilled by Amazon - FREE Shipping"
DOBE Silicone Protective Case for PlayStation 5 (red),169,"Get it as soon as tomorrow, 1 Sep","Get it as soon as tomorrow, 1 SepFulfilled by Amazon - FREE Shipping"
"PS5 Carrying Case, PS5 Travel Bag Storage for PS5 Console Disc/Digital Edition and Controllers, Protective PS5 Shoulder Bag for Playstation 5, Controllers, PS5 Game Cards, HDMI and Accessories Case",550,"Get it as soon as Tuesday, 3 September","Get it as soon as Tuesday, 3 SeptemberFulfilled by Amazon - FREE Shipping"
Crash Team Rumble – Deluxe Edition- PlayStation 5,"1,840","Get it as soon as tomorrow, 1 Sep","Get it as soon as tomorrow, 1 SepFulfilled by Amazon - FREE Shipping"
CD Marvel’S Spider-Man 2- Playstation 5,"3,740","Get it as soon as Monday, 2 September","Get it as soon as Monday, 2 SeptemberFulfilled by Amazon - FREE Shipping"
"WD_BLACK 2TB SN850P NVMe M.2 SSD Officially Licensed Storage Expansion for PS5 Consoles, up to 7300 per second, with heatsink - WDBBYV0020BNC-WRSN","14,299","Get it as soon as Monday, 2 September","Get it as soon as Monday, 2 SeptemberEGP 26.00 shipping"
PLAYSTATION VR2 (UAE Version),"32,198","Get it as soon as tomorrow, 1 Sep","Get it as soon as tomorrow, 1 SepFulfilled by Amazon - FREE Shipping"
"Logitech G29 Driving Force Racing Wheel and Floor Pedals, Real Force, Stainless Steel Paddle Shifters, Leather Steering Wheel Cover, Adjustable Floor Pedals, PS5/PS4/PS3/PC/Mac – Black","15,999","Get it as soon as Monday, 2 September","Get it as soon as Monday, 2 SeptemberFulfilled by Amazon - FREE Shipping"
PlayStation 5 DualSense Wireless Controller (KSA Version) - Grey Camouflage,"4,099","Get it as soon as Monday, 2 September",EGP 26.00 shipping
"ElitePlay Carry Case for Playstation Portal, PS Portal Case with Built-in Stand Design, Shockproof and Waterproof Protective Travel Bag Fits PlayStation 5 Portal, PS Portal Accessories","1,423","Get it as soon as tomorrow, 1 Sep","Get it as soon as Monday, 2 SeptemberEGP 26.00 shipping"
"PS5 Stand Cooling Fan and Controller Charger Station, PS5 Accessories Organizer for Playstation 5 Stand, Cooling Fan and Dual Charging Station, PS5 Vertical Stand with 3 USB Hub &13 Game Storage",600,"Get it as soon as tomorrow, 1 Sep","Get it as soon as tomorrow, 1 SepFulfilled by Amazon - FREE Shipping"
"Sony PlayStation 5 Console with Wireless Controller, Middle East Version - White and Black",60,"Get it as soon as tomorrow, 1 Sep","Get it as soon as tomorrow, 1 SepFulfilled by Amazon - FREE Shipping"
Case Compatible with PlayStation 5,"10,777","Get it as soon as Monday, 2 September","Get it as soon as tomorrow, 1 SepFulfilled by Amazon - FREE Shipping"
"Type C Power Cable 2 Pin Euro IEC C7, Euro 8 Cable, Suitable for Sony Playstation, PS2, PS3, PS4, PS5, Xbox, Television, Monitor, Radio and Printer, 1.5 Metres (IEC C7, 1.50 Meters)",280,"Get it as soon as tomorrow, 1 Sep","Get it as soon as Monday, 2 SeptemberEGP 26.00 shipping"
"WD_BLACK 2TB SN850X NVMe Internal Gaming SSD Solid State Drive with Heatsink - Works with Playstation 5, Gen4 PCIe, M.2 2280, Up to 7,300 MB/s - WDS200T2XHE","1,999","Get it as soon as Monday, 2 September","Get it as soon as tomorrow, 1 SepFulfilled by Amazon - FREE Shipping"
"Case for PS5 Controller Skin, Anti-Slip Silicone Cover Skin with 8 Thumb Grip Caps, Anti-Scratch Protection Case Compatible with Playstation 5 DualSense Wireless Controller (Black)","3,499","Get it as soon as tomorrow, 1 Sep","Get it as soon as Monday, 2 SeptemberFulfilled by Amazon - FREE Shipping"
"Razer Quick Charging Stand - Quick Charging Stand for PlayStation 5 Controller (Quick Charge, Curved Cradle Design, Powered by USB, One-Handed Navigation) Midnight Black","1,500","Get it as soon as tomorrow, 1 Sep",EGP 26.00 shipping
"Ubisoft The Crew Motorfest - Limited Edition, PlayStation 5","1,500","Get it as soon as Monday, 2 September",EGP 26.00 shipping
